Interessant?,Nachname,Vorname,Akadm. Titel,Anm./Spitzname,Theresienstädter Konvolut u. Liste R. Oppenhejm,Geb.,Geburtsort,Geburtsland,Gest.,Todesort,Todesland,Nationalität,Beruf,Berufszweig,Frau/Mann,Kinder,im Ghetto,Deportation,Transport,Bedeutung,im Film,Sequenzen,Ende,Quellen,Wikipedia,Ghetto Theresienstadt Lexikon,Internetquelle Sonstiges,Sekundärliteratur,Sekundärliteratur 2,Primärquellen,Bild,Bildquelle
,Meinhard,Carl ,,auch Karl Meinhardt,,11/28/1875,Iglau,Österreich-Ungarn,02/12/1949,Buenos Aires,Brasilien,österreichischer,"Schauspieler, Theaterdirektor",Kunst,unbekannt,unbekannt,unbekannt,10/24/42,,,"Mitwirkung, Auftritt, Konzert S34",34,Befreiung,,https://de.wikipedia.org/wiki/Carl_Meinhard ,,,"Joseph Walk (Hrsg.): Kurzbiographien zur Geschichte der Juden 1918–1945. Herausgegeben vom Leo Baeck Institute, Jerusalem. Saur, München u. a. 1988, ISBN 3-598-10477-4.     Kay Weniger: Zwischen Bühne und Baracke. Lexikon der verfolgten Theater-, Film- und Musikkünstler 1933 bis 1945. Mit einem Geleitwort von Paul Spiegel. Metropol, Berlin 2008, ISBN 978-3-938690-10-9, S. 244.     Kay Weniger: 'Es wird im Leben dir mehr genommen als gegeben …'. Lexikon der aus Deutschland und Österreich emigrierten Filmschaffenden 1933 bis 1945. Eine Gesamtübersicht. S. 344 f., ACABUS-Verlag, Hamburg 2011, ISBN 978-3-86282-049-8",,"Die wunderlichen Geschichten des Kapellmeisters Kreisler : Phantast. Melodram nach E. T. A. Hoffmanns Leben und Erzählungen ; Musik mit teilw. Benutzung von Motiven aus Hoffmanns ""Undine"" und Mozarts ""Don Juan"" von E. N. von Rezniček. Text von Carl Meinhard; Rudolf Bernauer. Berlin : E. Reiss, 1922 ; Filmographie:     1918: Mr. Wu     1919: Rausch     1927: Colonialskandal (Liebe im Rausch)     1932: Trenck     1932: Unheimliche Geschichten     1932: Quick",JA,https://upload.wikimedia.org/wikipedia/commons/0/01/Carl_Meinhard_%28BerlLeben_1908-09%29.jpg 
,Meissner,Alfred,Dr. ,auch Alfréd,A,04/10/1871,Jungbunzlau (Mladá Boleslav ),Tschecheslowakei,09/29/1950,Prag,Tschechoslowakei,tschechoslowakischer,"Jurist, Politiker, Justizminister","Politik, Jura",Rosa Meissner (geb. Sommer),3,"Leiter Verlassenschaftsabteilung am Ghettogerich, Mitglied Ältestenrat unter Benjamin Murmelstein; Mitunterzeichner des Aufrufes des Ältestenrates an die befreiten Mithäftlinge vom 6. Mai 1945, in dem die Übernahme des Ghettos nach Ende des Zweiten Weltkrieges und damit die Befreiung vom Nationalsozialismus durch ein Internationales Komitee vom Roten Kreuz mitgeteilt wurde.",1/30/42,V 280,,,,Befreiung,,https://de.wikipedia.org/wiki/Alfred_Meissner,http://www.ghetto-theresienstadt.de/pages/m/meissneral.htm,,"Axel Feuß: Das Theresienstadt-Konvolut, Altonaer Museum in Hamburg, Dölling und Galitz Verlag, Hamburg/München 2002, ISBN 3-935549-22-9     J. Cvetler: Meissner, Alfred. In: Österreichisches Biographisches Lexikon 1815–1950 (ÖBL). Band 6, Verlag der Österreichischen Akademie der Wissenschaften, Wien 1975, ISBN 3-7001-0128-7, S. 200 f. (Direktlinks auf S. 200, S. 201).     Heribert Sturm (Hrsg.): Biographisches Lexikon zur Geschichte der böhmischen Länder, herausgegeben im Auftrag des Collegium Carolinum (Institut), Band II, R. Oldenbourg Verlag München 1984, ISBN 3 486 52551 4, Seite 631     S. Winiger: Große Jüdische National-Biographie",,"Urazové pojištění dělnické dle práva rakouského ... sepsali --- a Leo Winter (Die Arbeiterunfallversicherung) (boh.) V Praze 1904 (im Bestand der ÖNB)     Jak se volí do obcí v Čechách (mimo Prahu a Liberec.) (Wie in Böhmen in die Gemeinden gewählt wird.) Dělnická knihtiskárna v Praze 1909 (im Bestand der ÖNB)     Nároky vdov a sirotků po padlých vojínech. (Ansprüche der Witwen und Waisen der im Kriege gefallenen Soldaten.) Sveceny V Praze 1914 (im Bestand der ÖNB)     Hlas českého socialního demokrata o krajském zřízení a národnostní autonomii. (Die Stimme des tschechischen Sozialdemokraten über die Verordnung der Kreiseinteilung und die Volksautonomie.) (boh.) Sveceny V Praze 1916 (im Bestand der ÖNB)     Die Verwaltungsreform in Österreich, um 1917     Kommentar zur neuen tschechoslowakischen Gemeindewahlordnung, A. Sveceny, Prag um 1924     Die Lage der kleinen Landwirte nach der Bodenreform, A. Sveceny, Prag um 1929",JA,https://upload.wikimedia.org/wikipedia/commons/b/b1/Alfr%C3%A9d_Meissner.jpg 
,Meyer,Léon,,,B,09/11/1868,Le Havre,Frankreich,01/22/1948,Paris,Frankreich,französischer,"Politiker, Minister, Bürgermeister",Politik,Susanne Meyer ,1,unbekannt,7/12/42,,,,,Befreiung,,https://de.wikipedia.org/wiki/L%C3%A9on_Meyer ,http://www.ghetto-theresienstadt.de/pages/m/meyerl.htm ,,"Axel Feuß: Das Theresienstadt-Konvolut, Altonaer Museum in Hamburg, Dölling und Galitz Verlag, Hamburg/München 2002, ISBN 3-935549-22-9     Meyer, Léon, in: Encyclopaedia Judaica, 1971, Band 11, Sp. 1464",,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild61.gif 
,Meyer,Owe,Dr.,auch Ove,B,10/16/1885,Kopenhagen,Dänemark,,,,dänischer,"Diplom-Ingenieur, war dann Direktor einer großen Accumulatorenfabrik in Kopenhagen und Leiter des Exportbüros des dänischen Industrierates. Direktor der Kunstporzellanfabrik Bing und Groendahl.",Wirtschaftswesen,verwitwet,2,unbekannt,10/6/43,,,Konzert S34,34,unbekannt,,,http://www.ghetto-theresienstadt.de/pages/m/meyero.htm ,,,,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild60.gif 
,Murmelstein,Benjamin,Dr. ,,B,06/09/1905,Lemberg,Österreich-Ungarn (Galizien),10/27/1989,Rom,Italien,österreichischer,"Rabbiner, Gelehrter und Funktionär der Israelitischen Kultusgemeinde Wien",Religion,Margit Murmelstein (geb. Geyer),Wolf Murmelstein (geb. 1936),"Zweiter Stellvertreter des Judenältesten P. Eppstein, dann ab 27.09.44 Judenältester",1/29/43,,,"Anwesend Besprechung des Ältestenrates, rechts neben P. Eppstein ; Vortrag S33",10 – 4.36min ; 33,Befreiung,,https://de.wikipedia.org/wiki/Benjamin_Murmelstein,http://www.ghetto-theresienstadt.de/pages/m/murmelsteinb.htm,,"Eva Strusková, Jana Šplíchalová, Tomáš Fedorovič, Václav Kofroň: Wahrheit und Lüge. Dreharbeiten im Ghetto Theresienstadt 1942–1945. Jüdisches Museum in Prag & Nationalfilmarchiv (Hsg.). 2013.     Hans Günther Adler: Theresienstadt 1941–1945. Das Antlitz einer Zwangsgemeinschaft. Geschichte, Soziologie, Psychologie. Mohr (Siebeck), Tübingen 1955 (2., verbesserte und ergänzte Auflage, ebenda 1960; Reprint der Ausgabe 1960 mit einem Nachwort von Jeremy Adler, Wallstein-Verlag, Göttingen 2005, ISBN 3-89244-694-6).     Anna Hájková: Der Judenälteste und seine SS-Männer. Benjamin Murmelstein und seine Beziehung zu Adolf Eichmann und Karl Rahm. In: Ronny Loewy, Katharina Rauschenberger (Hrsg.): „Der Letzte der Ungerechten“: der „Judenälteste“ Benjamin Murmelstein in Filmen 1942–1975. Frankfurt am Main/New York 2011.     Herbert Rosenkranz: Verfolgung und Selbstbehauptung: die Juden in Österreich 1938–1945. Herold, Wien 1978, ISBN 3-7008-0150-5.     Doron Rabinovici: Instanzen der Ohnmacht. Wien 1938–1945. Der Weg zum Judenrat. Jüdischer Verlag, Frankfurt 2000, ISBN 3-633-54162-4.     Axel Feuß: Das Theresienstadt-Konvolut. Dölling und Galitz, Hamburg u. a. 2002, ISBN 3-935549-22-9.     Ronny Loewy, Katharina Rauschenberger (Hrsg.): „Der Letzte der Ungerechten“: der „Judenälteste“ Benjamin Murmelstein in Filmen 1942–1975. Wissenschaftliche Reihe des Fritz-Bauer-Instituts, Bd. 19, Campus Verlag, Frankfurt am Main/New York 2011, ISBN 978-3-593-39491-6.     Marc Zitzmann: Der letzte „Judenälteste“ – Retter oder Verräter? In: Neue Zürcher Zeitung. 10. Dezember 2013.","Elfstündiges Interview Lanzmanns mit Murmelstein über seine Funktion in Wien und Theresienstadt von 1938 bis 1945 beim Steven Spielberg Film and Video Archive des United States Holocaust Memorial Museum (RG-60.5009, Tape 3158 - 3190). Leonard H. Ehrlich: Gastvortrag in Wien 2008 über Murmelstein als Leiter der Auswanderungsabteilung der Wiener Gemeinde 1938–43 des jahrzehntelang über ihn forschenden Wissenschaftlerpaars Leonard H. Ehrlich und Edith Ehrlich, die ihn aus ihrer Forschung gegen die Vorwürfe der Kollaboration und der ungerechten Härte größtenteils verteidigen. Dokumente zu Benjamin Murmelstein in den Sammlungen des Jüdischen Museums in Prag. Wolf Murmelstein: Theresienstadt The „Show-Ghetto“ (detailreiche Chronik, englisch, auf der Seite holocaustresearchproject.org). Wolf Murmelstein: Die Judenrat-Frage - Tragisch überfordert oder ewig schuldig? Zukunft-braucht-Erinnerung.de, 28. Dezember 2004. Abgerufen am 19. März 2015.","Benjamin Murmelstein: Theresienstadt Eichmanns Vorzeige-Ghetto. Mit einem Nachwort von Wolf Murmelstein. Deutsche Übersetzung der 1961 in Italienisch erschienenen Autobiographie Terezin. Il ghetto-modello di Eichmann. Wien 2014, ISBN 978-3-7076-0510-5.     Terezin. Il ghetto-modello di Eichmann. Cappelli, Bologna 1961 (2. Auflage, La Scuola, Milano 2013, mit Nachwort von Wolf Murmelstein: Benjamin Murmelstein, „Il testimone mai sentito“. S. 237–246).     Geschichte der Juden. Des Volkes Weltwandern. Josef Belf, Wien 1938.     Adam. Ein Beitrag zur Messiaslehre. Diss. Universität Wien 1927.",JA,https://en.wikipedia.org/wiki/Benjamin_Murmelstein#/media/File:Benjamin_Murmelstein.gif 
,Neuberger,Leon,,,A,04/24/1880,Baince,"Bezirk Sereth, Rumänien",nach 12.10.1944 (Deportation n. Auschwitz),KZ Auschwitz,Generalgouvernement (Polen),deutsch-österreichischer,Berufsoffizier und hochdekorierter Frontkämpfer WKI. ,Militär,Franziska Neuberger (geb. Bielik),kinderlos,In Theresienstadt Leiter des Wach- und Ordnungsdienstes.,10/10/42,1292 – IV/13,,Freilichtvarietee S22,22,ermordet,,,http://www.ghetto-theresienstadt.de/pages/n/neubergerl.htm ,https://www.holocaust.cz/de/opferdatenbank/opfer/55606-leon-neuberger/ ,,,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild52.gif 
,Oppenhejm,Morits,,,,04/01/1897,Kopenhagen,Dänemark,07/05/1961,Gentofte,Dänemark,dänischer,Rechtsberater der deutschen Botschaft in Kopenhagen,Politik,Mélanie Oppenhejm (geb. Mathiason),"Helmuth (1918), Ruth (1920), Ralph (1924), Ellen (1926) Oppenhejm",,10/13/43,,,beim Konzert,34 – 19.32min,Weiße Busse,,,,,,,,JA,https://collections.ushmm.org/search/catalog/pa1144050 
,Oppenhejm,Mélanie,,geb. Mathiason,,05/10/1897,Hamburg,Deutsches Reich,12/03/1982,Gentofte,Dänemark,deutsche,1935 Vorsitzende der Jewish Women's Association in Kopenhagen. und war ab 1940 Mitglied des Präsidiums des dänischen Frauen-Zivildienstes,Wohlfahr,Morits Oppenhejm,"Helmuth (1918), Ruth (1920), Ralph (1924), Ellen (1926) Oppenhejm",,10/13/43,,Vor allem als führende Persönlichkeit innerhalb der sogenannten Jugend-Aliyah in Dänemark (UAD) spielte sie vor und während des Zweiten Weltkriegs eine aktive Rolle in der Gesellschaft.,beim Konzert,34 – 19.32min,Weiße Busse,,,,https://www.kvinfo.dk/side/597/bio/895/%20Original%20Link:%20http://www.kvinfo.dk/side/597/bio/895/ https://visualisations.ehri-project.eu/items/show/33  ,,,Theresienstadt : die Menschenfalle / Mélanie Oppenhejm ; aus dem Dänischen übersetzt von Dietmar Possart. URL: https://collections.ushmm.org/search/catalog/bib44906 ,JA,https://visualisations.ehri-project.eu/items/show/33 ; https://collections.ushmm.org/search/catalog/pa1144050 
,Oppenhejm,Ralph,,,,12/10/1924,Kopenhagen,Dänemark,02/04/2008,Kopenhagen,Dänemark,dänischer,Schriftsteller (nach dem Krieg),Kunst,Sohn von Morits und Mélanie Oppenhejm,,unbekannt,10/13/43,,"Nach dem Zweiten Weltkrieg erschien 1945 sein erstes Buch, „An der Grenze des Lebens – ein Theresienstädter Tagebuch“. Oppenhejm studierte Rechtswissenschaften, um dann doch hauptsächlich als Schriftsteller tätig zu sein. Seine Bücher wurden in mehrere Sprachen übersetzt.  In seinem „Theresienstädter Tagebuch“ veröffentlichte er auch eine von der SS gefertigte Liste von insgesamt 94 prominenten Häftlingen, die er bei seiner Entlassung aus dem Lager in Sicherheit bringen konnte.",beim Konzert,34 – 19.32min,Weiße Busse,,https://de.wikipedia.org/wiki/Ralph_Oppenhejm ,http://www.ghetto-theresienstadt.de/pages/o/oppenhejmr.htm,,,,,JA,https://collections.ushmm.org/search/catalog/pa1144050 
,Philippson,Alfred,Prof. Dr.,,A,01/01/1864,Bonn,Deutsches Reich,03/28/1953,Bonn,Bundesrepublik Deutschland,deutscher,Geograph,Wissenschaft,"1. Ehe Lina Simoni (1906 verstorben), 2. Ehe Margarethe Kirchberger.",4 aus 1. Ehe,Philippson schrieb vom Oktober 1942 an in Theresienstadt seine Lebenserinnerungen Wie ich zum Geographen wurde.,6/8/42,544-III/1,,Vortrag S33,33,Befreiung,,https://de.wikipedia.org/wiki/Alfred_Philippson ,http://www.ghetto-theresienstadt.de/pages/p/philippsona.htm ,,"Johanna Philippson: The Philippsons, a German-Jewish Family 1775–1933. In: Leo Baeck Institute Yearbook. 7 (1962), 95–118 (englisch).     Astrid Mehmel: „Wie ich zum Geographen wurde“ - Aspekte zum Leben Alfred Philippsons. In: Geographische Zeitschrift 82, 1994, S. 116–132.     Astrid Mehmel, Claudia Hermes: Alfred Philippson - Lebenserinnerungen eines Geographen - Hinwegsehen über sein Judentum. In: Aufbau New York LX 16 vom 5. August 1994, S. 4–5.     Astrid Mehmel: Deutsche Revisionspolitik in der Geographie nach dem Ersten Weltkrieg. In: Geographische Rundschau 9, September 1995, S. 498–505.     Hans Böhm, Astrid Mehmel: Alfred Philippson: Wie ich zum Geographen wurde. Aufgezeichnet im Konzentrationslager Theresienstadt zwischen 1942 und 1945. Herausgegeben und kommentiert von Hans Böhm und Astrid Mehmel. Bonn 1996. Erweiterte Auflage Bonn 2000.     B. Brandenburg, Astrid Mehmel: Margarete Kirchberger, verheiratete Philippson. In: 100 Jahre Frauenstudium: Frauen der Rheinischen Friedrich-Wilhelms-Universität Bonn. Herausgegeben von Annette Kuhn u. a. Dortmund 1996, S. 156–159.     Astrid Mehmel: Dora Philippson. In: 100 Jahre Frauenstudium: Frauen der Rheinischen Friedrich-Wilhelms-Universität Bonn. Herausgegeben von Annette Kuhn u. a. Dortmund 1996, S. 200–204.     Hans Böhm: Alfred Philippsons Begegnungen mit Griechenland 1887-1934. In: Ernst Trapp (Hrsg.): 3000 Jahre Griechische Kultur. St. Augustin 1997, S. 145–171.     Astrid Mehmel: Alfred Philippson (1. Januar 1864-28. März 1953) - ein deutscher Geograph. In: Aschkenas. Zeitschrift für Geschichte und Kultur der Juden. Bd. 8, Heft 2, 1998, S. 353–379.     Astrid Mehmel: Philippson, Alfred. In: Neue Deutsche Biographie (NDB). Band 20, Duncker & Humblot, Berlin 2001, ISBN 3-428-00201-6, S. 399 f. (Digitalisat).     Sabine Richter: Wissenschaftliche Nachlässe im Archiv des Geographischen Instituts der Universität Bonn. Findbücher zu den Nachlässen von Carl Troll und Alfred Philippson. Asgard, Sankt Augustin 2004. (= Colloquium Geographicum 27) ISBN 3-537-87427-8     Josef Niesen: Bonner Personenlexikon. Bouvier, Bonn 2007, ISBN 978-3-416-03159-2, S. ?",,"Die griechischen Landschaften. Vier Bände, Klostermann, Frankfurt am Main 1950–1959.     Studien über Wasserscheiden. Diss. 1886.     Das Mittelmeergebiet, seine geographische und kulturelle Eigenart. 1904, 4. Auflage 1922.     Europa. 1906 mit Prof. Dr. Ludwig Neumann, Band von Sievers' Allgemeinen Länderkunde.     Grundzüge der Allgemeinen Geographie. Drei Bände, 1920–1924.     Wie ich zum Geographen wurde. 1942/1996, ISBN 3-416-02620-9.     Land und See der Griechen. 1946.     Das Klima Griechenlands. 1948.     Handbuch der regionalen Geologie: Kleinasien. In: Handbuch der regionalen Geologie, Band 22, 1968.",JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild46.gif 
,Rosenthal,Ernst,Dr.,,A,,,,,,,,,,,,In Theresienstadt war er Leiter der Detektivabteilung,,,,Konzert S34,34,,,,http://www.ghetto-theresienstadt.de/pages/r/rosenthale.htm ,https://portal.ehri-project.eu/units/us-005571-78012 ,,,,,
,Salinger,Julie,,Julia Frieda Ziemann o. Zeman,,06/06/1873,Sárvár,Österreich-Ungarn,04/12/1947,Berlin-Wedding,West-Berlin,ungarisch-deutsche,"Opern- und Kammersängerin (Sopran) aus Hamburg, Auszeichnungen wegen Kriegshilfsdienst",Musik,Max Schlesinger (geschieden),2 uneheliche Söhne mit Prinz Heinrich von Preußen,unbekannt,6/17/42,1896 – 1/26,,Szene von 1942,8 – 3.50min,Befreiung,,https://de.wikipedia.org/wiki/Julie_Salinger_(S%C3%A4ngerin) ,http://www.ghetto-theresienstadt.de/pages/s/salingerj.htm ,,"(1) Kay Weniger: Zwischen Bühne und Baracke. Lexikon der verfolgten Theater-, Film- und Musikkünstler 1933 bis 1945. Metropol, Berlin 2008, ISBN 978-3-938690-10-9, S. 410 (2) Karel Magry: „Das Konzentrationslager als Idylle: ""Theresienstadt"" – Ein Dokumentarfilm aus dem jüdischen Siedlungsgebiet“. In: Fritz-Bauer-Institut (Hg.): Auschwitz : Geschichte, Rezeption und Wirkung. Frankfurt : Campus, 1997, S. 319–352, hier S. 338","Karel Magry: Das Konzentrationslager als Idylle: „Theresienstadt“ – Ein Dokumentarfilm aus dem jüdischen Siedlungsgebiet. In: Fritz-Bauer-Institut (Hrsg.): Auschwitz – Geschichte, Rezeption und Wirkung. Campus, Frankfurt 1997, S. 319–352, hier S. 338.",,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild34.gif 
,Saudek,Rudolf,,,,10/20/1880,Kolín ,Böhmen,07/19/1965,Prag,Tschechoslowakei,tschechisch-deutscher,"Bildhauer, Grafiker, Professor",Kunst,,,künstlerisches Schaffen,1942 (unbekannt),,,"In Szenen 28 in der Töpferei sieht man Rudolf Saudek bei der Arbeit: zuerst eine Nahaufnahme seines Gesichts, sodass ihn jeder erkennt (11:45-11:48), dann seines Hammers und anderer Materialien (11:48-11:52); macht einen Schnitt auf den Schemel (11:53-11:55) und in der darauf folgenden Einstellung imitiert die Kamera diesen sowie seine Bewegung in ihrem Vertikalschwenk die Statue hinauf (11:55-11:57); verschiedene Nahaufnahmen des Künstlers am Werk sowie des Werks (11:58-12:00, 12:00-12:04) (erst er in der Mitte, dann das Werk), was eine abschließende Halbtotale vereint (12:05-12:20) In Szene 34 wohnt er dem Konzert (20:51) bei. Szene 30 ? Fußballspiel (ist er da dabei?) ",28 – 11:45min/11:48min & 11:53min/12:20min ; 34 – 20:51min ,Befreiung,,https://de.wikipedia.org/wiki/Rudolf_Saudek ,,"http://blog.despinoza.nl/log/rudolf-saudek-1880-1965-maakte-een-spinozabeeld.html Saudek, Rudolf. In: Leipziger Biographie. Abgerufen am 27. April 2015. Rudolf Saudek (1880–1965) maakte een Spinozabeeld (niederländisch, mit zahlreichen Abbildungen seiner Werke). Abgerufen am 27. April 2015. ","Julius Zeitler: Rudolph Saudek. Mit 9 Abbildungen nach Plastiken des Künstlers. In: Reclams Universum, 34,1 (1918), S. 761–764.     Horst Riedel: Stadtlexikon Leipzig von A bis Z. Pro Leipzig, Leipzig 2005, ISBN 3-936508-03-8, S. 520.",,,JA,http://blog.despinoza.nl/log/rudolf-saudek-1880-1965-maakte-een-spinozabeeld.html 
,"Schlitz, Gräfin von",Else,,"geb. Meyer, gen. von Götz",B,03/04/1882,Kassel,Deutsches Reich,unbekannt,unbekannt,unbekannt,deutsche,"besuchte die Höhere Töchterschule, studierte dann Sprachen und Musik. Im 1. Weltkrieg leitete sie in Abwesenheit ihres Gatten das Rittergut.",Ehefrau,"Rudolf Graf von Schlitz, gen. von Görtz und von Wrisberg",3,unbekannt,4/7/44,,,Titelszene,1 – 0.26min,Befreiung,,,http://www.ghetto-theresienstadt.de/pages/s/schlitze.htm ,,,,https://shop.editionblaes.de/produkt/briefe-und-aufzeichnungen-von-else-graefin-von-schlitz/ ,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild32.gif 
,Schneidhuber,Ida Franziska,,"Franzi, geb. Wassermann",A,06/07/1892,München,Deutsches Reich,nach 1945 ,unbekannt ,unbekannt,deutsche,"Ehefrau von August Schneidhuber, SA-Obergruppenführer und Polizeichef von München, Chef der SA in Bayern und Mitglied des Deutschen Reichstages war",,August Schneidhuber (gest. 1934),,unbekannt,7/30/42,II/20-968,,Freilichtvarietee S22 ; Vortrag S 33,22 ; 32,Befreiung,,,http://www.ghetto-theresienstadt.de/pages/s/schneidhuberi.htm,,,,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild31.gif 
,"Schultz, von",Clara,,geb. Petite,B,07/08/1862,St. Thomas,Westindien,1963 (unbekannt),unbekannt,unbekannt,dänische,"Ehemann Johann Hermann Schultz war Flotten-Kommandeur der dänischen Flotte. Inhaber von 12 Dekorationen, darunter den höchsten dänischen Orden, der Verdienstmedaille in Gold, des dänischen Kommandeursordens 1. Klasse, des italienischen Rettungsordens und des türkischen Scheferkat-Ordens.",k.A.,Johann Hermann Schultz,2,unbekannt,10/5/43,,,Terrasse Szene 4,4,Befreiung,,,http://www.ghetto-theresienstadt.de/pages/s/schultzc.htm,https://collections.ushmm.org/search/catalog/pa1144027 ,,,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild30.gif 
,Sommer,Emil,,auch Emil Samule von Sommer,A,11/19/1869,Dorna-Watra,Bukowina,04/10/1947,Danvers,"Massachusetts, USA",österreichisch-deutscher,"Offizier, Generalmajor (Österreich-Ungarn)",Militär,"Anna Sommer, geborene Mittler (1887 Wien – 1970)",Erika Sommer (1909–1988) ; Anton Sommer (1911–1992),unbekannt,9/12/42,690-IV/10,,,,Befreiung,,https://de.wikipedia.org/wiki/Emil_Sommer_(General),http://www.ghetto-theresienstadt.de/pages/s/sommere.htm ,,"M. Senekowitsch: Sommer Emil. In: Österreichisches Biographisches Lexikon 1815–1950 (ÖBL). Band 12, Verlag der Österreichischen Akademie der Wissenschaften, Wien 2001–2005, ISBN 3-7001-3580-7, S. 412.     Marthi Pritzker-Ehrlich und Andreas Pritzker: Gestörte Bürgerlichkeit. Zeugnisse einer jüdisch-christlichen Familie in Briefen, Dokumenten und Bildern. Munda, Brugg 2007, Band 1 (Zeitraum 1802–1937), ISBN 978-3-9523161-0-8; Band 2 (Zeitraum 1938–1948), ISBN 978-3-9523161-1-5.",,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild24.gif 
,Spier ,Joseph Eduard Adolf,,Jo,,06/26/1900,Zutphen,Niederlande,05/21/1978,Santa Fe,"New Mexiko, USA",dänischer,"Künstler, Illustrator",Kunst,Albertine Sophie (Tineke) van Raalte,3,"Mitglied der Werkstatt für angewandte Kunst und Gemälde, später Atelier Spier genannt. Aus seinen Arbeiten in dieser Zeit wurde das offizielle für Propagandazwecke in Auftrag gegebene, Andenkenalbum Bilder aus Theresienstadt zusammengestellt.",4/22/43,Transport XXIV/1,Erstellt eine  einzigartige Zeichendokumentation der Drehtage,Sitzender Mann mit Brille,1 – 0.27min,Befreiung,,https://en.wikipedia.org/wiki/Jo_Spier ,http://www.ghetto-theresienstadt.de/pages/s/spierj.htm ,https://www.lambiek.net/artists/s/spier_j.htm ,"Peter van Straaten & Jo Spier. Virtuoze tekenaars van het Nederlandse leven. Persmuseum Amsterdam, 2012. No ISBN     Jo Spier. Tekenaar van een tijdperk Samenst. door G.E. van Baarsel. Stedelijk Museum Zutphen, 2000. ISBN 90-805756-1-5     Jo Spier: Album. Amsterdam, Elsevier, 1957. No ISBN     Michel van der Plas: Vader en moeder. Baarn, Bosch& Keuning, 1987. ISBN 90-246-4621-9 (Interviews with children of famous parents, a.o. Peter Spier) Eva Strusková, Jana Šplíchalová, Tomáš Fedorovič, Václav Kofroň: Wahrheit und Lüge. Dreharbeiten im Ghetto Theresienstadt 1942–1945. Jüdisches Museum in Prag & Nationalfilmarchiv (Hsg.). 2013.",,"    The Creation, text from Genesis, hand-lettered by Joseph P Ascherl, New York: Doubleday & Company, 1970.     The Squirrel and the Harp, by David DeJong, New York: Macmillan, 1966.     The Spice Cookbook, by Avanelle Day and Lillie Stuckey, David White Company, 1964     Waters of the New World: Houston to Nantucket, by Jan de Hartog, New York: Atheneum, 1961.     Peter Stuyvesant of Old New York, by Anna Crouse and Russel Crouse, New York: Random House, 1954.     The Story of Louis Pasteur, by Alida Sims Malkus, New York: Grosset & Dunlap, 1952.     One Sky to Share: The French and American Journals of Raymond Leopold Bruckberger, New York: P. J. Kenedy & Sons, 1952.     Holland's House: a Nation Building a Home, by Peter Bricklayer, Haarlem, Netherlands: Joh. Enschede En Zonen, 1939.     Mijn Jordanertjes : kinderen, die ik gekend heb, by A van Vlaardingen, Utrecht: Bijleveld, 1931.     (in Dutch) Godfried Bomans: Kopstukken. Ill. Jo Spier. Amsterdam, Brussel, Elsevier 1947 etc. (27th pr., 1987)",JA,https://www.wikidata.org/wiki/Q2683316
,Springer,Erich,Dr.,,,,,,nach 1945 (erlebte die Befreiung Theresienstadts),,,,Arzt,Medizin,,,Leiter der Chirurgie im Ghetto,,,,Konzert S34,34,Befreiung,,,,https://portal.ehri-project.eu/units/il-002777-wp2_bt-053_000_000-053_000_067 ,https://books.google.de/books?id=yh-_DwAAQBAJ&pg=PT30&lpg=PT30&dq=springer+erich+theresienstadt&source=bl&ots=Fdj-ZD0MVN&sig=ACfU3U17FkWISPTY9yFD5jwgPakRrstsog&hl=de&sa=X&ved=2ahUKEwjgoZeK2aDtAhVPqaQKHa6WCOM4FBDoATABegQIAhAC#v=onepage&q=springer%20erich%20theresienstadt&f=false ,,,,
,Stargardt,Otto,Dr.,,A,07/25/1874,Freienwalde a.d. Oder,Deutsches Reich,unbekannt,unbekannt,unbekannt,deutscher,"Senatsmitglied des Reichsversorgungsgerichtes, Mitglied der evangelischen Provinzialsynode",Jura,Edith Stargardt (geb. Wolf),unbekannt,Er arbeitete als Postzensor,7/2/42,798 – I/14,,Vortrag S33,33,Befreiung,,,http://www.ghetto-theresienstadt.de/pages/s/stargardto.htm ,,,,https://wiener.soutron.net/Portal/Default/en-GB/recordview/index/104727,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild22.gif 
